"","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol"
"2058",3,"Structural",100,"sign_manufac","sign_product",8.29109262167214,7.9311050831497,4.42819431551889,"Fixed Quote","gradpro",1.64755480607083,2013,"2.5m-9m","2.5k-8k","C2403","CN1336","2013.418.3","0"
"2059",1,"Structural",100,"architect","edu_exten_community",7.10604782723173,10.6552538157508,4.60517018598809,"Hourly Rate","director",0.363636363636364,2013,"2.5m-9m","600-2.5k","C2236","CN1876","2013.419.3","0"
"2060",2,"Structural",28.57,"engineer","art_facade_awn_memb",7.29528982687025,7.27931883541462,4.26871794916688,"Fixed Quote","seniortech",2.53658536585366,2013,"2.5m-9m","600-2.5k",NA,NA,"2013.421.3","0"
"2061",8,"Environmental Planning",87.6,"hosp_institut_health","waste_wat_manage",10.8517373822169,11.0400442594704,3.70622809244855,"Hourly Rate","director",0.157571884256095,2013,"9m-1.5y","8k-60k","C2628","CN1900","2013.422.6","0"
"2062",1,"Structural",100,"road_rail_gov_util","hotel_office_dining",9.12095084777399,9.10497985631836,4.60517018598809,"Fixed Quote","director",0.442307692307692,2013,"3wk-2.5m","8k-60k",NA,NA,"2013.424.3","0"
"2063",2,"Environmental Planning",100,"town planner","parks and open spaces",9.3440943990882,9.66667855285783,4.50987000613377,"Fixed Quote","director",0.488095238095238,2013,"2.5m-9m","8k-60k","C2186",NA,"2013.426.6","0"
"2064",7,"Structural",63.8,"architect","refurb/renovation",10.1513237164407,10.7663823599921,3.88526826811933,"Fixed Quote","gradpro",0.116192965261897,2014,"2.5m-9m","8k-60k","C2053","CN1828","2013.429.3","0"
"2065",4,"Civil",46.21,"builder","waste_wat_manage",9.49698714519135,10.2428206928669,3.98508757628515,"Fixed Quote","seniortech",0.547638724911452,2013,"9m-1.5y","8k-60k","C2782","CN1115","2013.430.2","0"
"2066",4,"Water",82.24,"builder","waste_wat_manage",10.5875325020386,10.2428206928669,4.05923538510853,"Fixed Quote","gradpro",0.598096681687833,2013,"9m-1.5y","8k-60k","C2782","CN1115","2013.430.4","0"
"2067",7,"Environmental Planning",53.24,"builder","waste_wat_manage",8.53316418287187,10.2428206928669,3.83037901638764,"Fixed Quote","seniortech",-0.724593775819333,2013,"9m-1.5y","2.5k-8k","C2782","CN1115","2013.430.6","1"
"2068",1,"Structural",100,"builder","residential",8.31002063155766,10.4423570452036,4.60517018598809,"Hourly Rate","director",1.27272727272727,2013,"1d-3wk","2.5k-8k","C2297",NA,"2013.431.3","0"
