"","no.users","Discipline","pc.pro","Business","code.client","JD.Second","timespan.cbrt","inv.mlsto.log","client.totinv.log","pc.majpos.log","code.contact","Billing.Type","majority.pos","return.pdol","mlsto","Year"
"1195",2,"Structural",73.68,"builder","C2863",NA,1.25992104989487,7.52038440835289,8.34626251154896,4.29973139194705,NA,NA,"seniorpro",1.07317073170732,"2010.153",2010
"1196",3,"Structural",95.24,"school","C2726",NA,3.1748021039364,8.65178651984399,8.16799026231621,4.29073337622749,"CN1117",NA,"director",0.49648312268038,"2010.155",2010
"1197",4,"Structural",82.65,"architect",NA,"hospital",6.12692567522842,10.2307847868001,10.1487839084915,4.36067530876285,NA,NA,"seniorpro",0.856063576712938,"2010.158",2010
"1198",1,"Structural",100,"manufacturer/supplier",NA,NA,5.31329284591305,7.46599033628709,7.38398945797851,4.60517018598809,NA,"Hourly Rate","director",0.155704225857626,"2010.162",2010
"1199",26,"Structural",69.62,"architect","C2493","university",11.3677347641205,12.9782716100917,12.814697077168,3.41969196429832,NA,NA,"seniorpro",-0.257456866648319,"2010.165",2010
"1200",4,"Structural",75,"manufacturer/supplier","C2854",NA,2.51984209978975,7.59952172891161,7.90557069678047,4.1634040981536,"CN1398","Hourly Rate","midpro",0.466135458167331,"2010.171",2010
"1201",2,"Structural",100,"manufacturer/supplier",NA,NA,2.41014226417523,6.71531931158896,6.63331843328038,4.26871794916688,NA,"Hourly Rate","midpro",1.17142857142857,"2010.172",2010
"1202",2,"Structural",100,"builder","C2863",NA,7.41685953853238,5.92554529533994,8.34626251154896,4.31748811353631,NA,"Hourly Rate","director",-0.415254237288136,"2010.173",2010
"1203",1,"Structural",100,"builder","C2863","architectural house",0,5.92554529533994,8.34626251154896,4.60517018598809,NA,"Hourly Rate","director",1.15625,"2010.174",2010
"1204",3,"Structural",100,"school","C2806","architectural house",8.07226197720059,9.09144830790538,8.23462070941196,3.91740847770448,NA,"Hourly Rate","director",0.754781135030194,"2010.176",2010
"1205",16,"Structural",59.29,"gov","C2620",NA,8.49942325959926,11.3562248930487,10.5093160361612,3.87535902105655,NA,NA,"seniorpro",0.107176171527756,"2010.179",2010
