"","X","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol","f.rpdol","log","rf","boost","norm.log","norm.rf","norm.boost"
"300",300,3,"Structural",19.48,"architect","edu_exten_community",10.3262049990557,10.3335464065589,4.1940390562533,"Fixed Quote","director",0.547358587969222,2005,"1.5y-3y","8k-60k","C2314",NA,"2005.104",0,"profit",0.314872692288199,0.278,0.179441247724263,0.680317536450556,0.527257053058563,-1.71790743535999
"301",301,3,"Structural",38.98,"biz_bldgserv_internal","residential",6.93771547221381,6.74523634948436,3.97986855232321,"Fixed Quote","director",-0.18854415274463,2005,"2.5m-9m","600-2.5k",NA,NA,"2005.105",1,"loss",0.59130868654053,0.637,0.472712222348882,0.83934032038032,0.798122797569397,-0.749268485056711
"302",302,2,"Structural",27.6,"developer/real estate","residential",10.9434345212044,11.2221456661813,4.36322600521016,"Fixed Quote","seniortech",0.253741446347868,2005,"9m-1.5y","8k-60k","C2543",NA,"2005.106",0,"profit",0.48415172297362,0.391,0.385036667012354,0.785224473905533,0.625299928034539,-0.954416710236169
"303",303,2,"Structural",45.79,"architect","residential",10.1912768550699,8.93047169529196,4.04550439680263,"Fixed Quote","director",0.354054469918449,2005,"2.5m-9m","8k-60k","C2056",NA,"2005.109",0,"profit",0.194352500775961,0.315,0.203083805486698,0.579246445853707,0.561248608016091,-1.59413655022339
"304",304,2,"Structural",30.3,"sign_manufac","art_facade_awn_memb",7.54652150434,8.44279717778255,4.18128649235591,"Hourly Rate","director",0.586294416243655,2005,"1d-3wk","600-2.5k","C2920",NA,"2005.110",0,"profit",0.0223554563849453,0.04,0.0702049937456254,0.281704972812836,0.2,-2.65633583450285
"305",305,1,"Structural",100,"architect","residential",9.02448305398572,8.67391142938609,4.60517018598809,"Fixed Quote","director",0.153684210526316,2005,"2.5m-9m","8k-60k","C2567",NA,"2005.111",0,"profit",0.084785968623583,0.304,0.0807774301460839,0.439313614085976,0.551361950083609,-2.51605768235014
"306",306,2,"Structural",100,"developer/real estate","residential",7.79338158227153,10.9548149934773,4.60517018598809,"Fixed Quote","director",0.0454783063251438,2005,"2.5m-9m","600-2.5k","C2572",NA,"2005.113",0,"profit",0.368021792642685,0.46,0.330481697368402,0.716623719590992,0.678232998312527,-1.10720399983685
"307",307,2,"Structural",8.35,"architect","residential",10.1980515819693,8.93047169529196,4.46002880031842,"Fixed Quote","director",0.65945308110133,2005,">3y","8k-60k","C2056",NA,"2005.115",0,"profit",0.386880115445008,0.229,0.268703924307215,0.728660906235888,0.478539444560216,-1.31414515867681
"308",308,2,"Structural",100,"architect","residential",6.99487388605375,9.50949710794506,4.60517018598809,"Fixed Quote","director",0.00840336134453781,2005,"3wk-2.5m","600-2.5k","C2498",NA,"2005.116",0,"profit",0.225952413161284,0.434,0.28351259782887,0.609077179542734,0.658786763680024,-1.26049872001548
"309",309,2,"Structural",20.41,"sign_manufac","heritage_expert",7.71542004080182,8.44279717778255,4.28151545307749,"Fixed Quote","director",0.417624521072797,2005,"2.5m-9m","600-2.5k","C2920",NA,"2005.117",0,"profit",0.364526862290458,0.214,0.195280488391806,0.714348020785144,0.462601340248815,-1.63331835191835
